AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Positive,Negative,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Steam score,Lower,Upper,Earnings Range
504230,Celeste,"Jan 25, 2018",1000000 - 2000000,19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",88,0,54974,1253,51338,1105,394,"Extremely OK Games, Ltd.",Matt Makes Games Inc.,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Indie",98,1000000,2000000,"(19990000.0, 39980000.0)"
736260,Baba Is You,"Mar 13, 2019",500000 - 1000000,14.99,"['English', 'Spanish - Spain', 'Korean', 'Norwegian', 'Polish', 'Thai', 'French', 'Italian', 'Dutch', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Turkish', 'Vietnamese', 'German', 'Czech', 'Traditional Chinese']",87,0,15787,298,13937,592,297,Hempuli Oy,Hempuli Oy,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Indie,98,500000,1000000,"(7495000.0, 14990000.0)"
294100,RimWorld,"Oct 17, 2018",2000000 - 5000000,34.99,"['English', 'French', 'German', 'Polish', 'Russian', 'Italian', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Hungarian', 'Japanese', 'Norwegian', 'Portuguese', 'Portuguese - Brazil', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Finnish', 'Korean', 'Romanian', 'Spanish - Latin America']",87,0,133389,2318,113468,10424,3402,Ludeon Studios,Ludeon Studios,"Single-player,Steam Workshop,Steam Cloud,Remote Play on Tablet","Indie,Simulation,Strategy",98,2000000,5000000,"(69980000.0, 174950000.0)"
597220,West of Loathing,"Aug 10, 2017",500000 - 1000000,10.99,['English'],87,0,7199,177,6951,333,435,Asymmetric,Asymmetric,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together","Adventure,Indie,RPG",98,500000,1000000,"(5495000.0, 10990000.0)"
1150690,OMORI,"Dec 25, 2020",500000 - 1000000,19.99,"['English', 'Japanese', 'Simplified Chinese', 'Korean']",87,0,42173,755,38674,1217,1165,"OMOCAT, LLC","OMOCAT, LLC","Single-player,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet","Adventure,Indie,RPG",98,500000,1000000,"(9995000.0, 19990000.0)"
1082710,Bug Fables: The Everlasting Sapling,"Nov 21, 2019",50000 - 100000,19.99,"['English', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil', 'German', 'Korean']",86,0,3453,68,3081,1055,1303,Moonsprout Games,DANGEN Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure,Indie,RPG",98,50000,100000,"(999499.9999999999, 1998999.9999999998)"
250320,The Wolf Among Us,"Oct 11, 2013",1000000 - 2000000,14.99,['English'],85,0,27797,653,23181,506,506,Telltale,Telltale,"Single-player,Steam Achievements,Full controller support,Remote Play on TV","Action,Adventure,Casual",98,1000000,2000000,"(14990000.0, 29980000.0)"
844590,Hypnospace Outlaw,"Mar 12, 2019",200000 - 500000,19.99,['English'],83,0,2670,67,2344,139,132,"Tendershoot,Michael Lasch,ThatWhichIs Media",No More Robots,"Single-player,Steam Trading Cards",Simulation,98,200000,500000,"(3997999.9999999995, 9995000.0)"
460950,Katana ZERO,"Apr 18, 2019",1000000 - 2000000,14.99,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",83,0,47643,846,43011,346,291,Askiisoft,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie",98,1000000,2000000,"(14990000.0, 29980000.0)"
105600,Terraria,"May 16, 2011",20000000 - 50000000,9.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",83,0,964983,21044,783469,6729,1810,Re-Logic,Re-Logic,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Indie,RPG",98,20000000,50000000,"(199800000.0, 499500000.0)"
